,id,addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,longitude,name,opening_hours,tags,website,coordinates,location_id,zone
13,204,New York,178,10014.0,7th Avenue Street,,POINT (-74.00156313791592 40.736481864977456),40.73648186,-74.00156314,Village Vanguard,Mo-Su 07:00-00:00,entertainment ,http://www.villagevanguard.com/,POINT (-74.00156313791592 40.736481864977456),249,West Village
14,208,New York,1568,10028.0,2nd Avenue,,POINT (-73.95371706984969 40.774916521484364),40.77491652,-73.95371707,Comic Strip Live,Mo-Su 13:00-01:00,entertainment ,https://comicstriplive.com/,POINT (-73.95371706984969 40.774916521484364),263,Yorkville West
15,1,New York,616,10009.0,East 9th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9795215 40.7258135),40.7258135,-73.9795215,Theresa Byrnes Gallery,Tu 13:30-17:00; Th 14:00-18:00; Fr 14:00-19:00; Sa 13:00-19:00; Su 14:00-17:00,gallery,http://www.theresabyrnes.com/,POINT (-73.9795215 40.7258135),4,Alphabet City
139,2,New York,155,10009.0,Avenue C,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9778791 40.7257313),40.7257313,-73.9778791,Museum of Reclaimed Urban Space,"Tu,Th-Su 11:00-19:00",museum,https://morusnyc.org/,POINT (-73.9778791 40.7257313),4,Alphabet City
16,17,New York,453,10011.0,West 17th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0061805 40.7439372),40.7439372,-74.0061805,Ulrik Gallery,We-Sa 12:00-18:00,gallery,https://ulrik.nyc,POINT (-74.0061805 40.7439372),68,East Chelsea
201,16,New York,75,10011.0,9th Avenue,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",POINT (-74.0069958 40.7429236),40.7429236,-74.0069958,Chelsea Market,Mo-Sa 07:00-21:00; Su 08:00-20:00,shopping,http://chelseamarket.com/,POINT (-74.0069958 40.7429236),68,East Chelsea
17,21,New York,188,10009.0,East 2nd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9841125 40.7224564),40.7224564,-73.9841125,Karma Gallery,Tu-Sa 10:00-18:00,gallery,https://karmakarma.org,POINT (-73.9841125 40.7224564),79,East Village
18,23,New York,64,10009.0,Avenue A,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9845324 40.7244007),40.7244007,-73.9845324,MARCH,Tu-Sa 11:00-18:00,gallery,https://www.marchgallery.org,POINT (-73.9845324 40.7244007),79,East Village
19,34,New York,33,10012.0,Bleecker Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9937321 40.7257629),40.7257629,-73.9937321,Z??rcher Studio,Tu-Sa 12:00-18:00; Su 14:00-18:00,gallery,https://galeriezurcher.com,POINT (-73.9937321 40.7257629),114,Greenwich Village South
20,35,New York,47,10012.0,Great Jones Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.992545 40.7265986),40.7265986,-73.992545,La MaMa Galleria,Th-Su 13:00-19:00,gallery,https://lamama.org,POINT (-73.992545 40.7265986),114,Greenwich Village South
154,33,New York,526,10012.0,Laguardia Place,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.99882 40.7284684),40.7284684,-73.99882,The Renee and Chaim Gross Foundation,"Th,Fr 13:00-17:00",museum,http://www.rcgrossfoundation.org/,POINT (-73.99882 40.7284684),114,Greenwich Village South
21,48,New York,860,10019.0,11th Avenue,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9902725 40.771366),40.771366,-73.9902725,Anya & Andrew Shiva Gallery,Mo-Fr 10:00-18:00,gallery,http://shivagallery.org,POINT (-73.9902725 40.771366),143,Lincoln Square West
22,53,New York,149,10002.0,Allen Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9892808 40.720719),40.720719,-73.9892808,Krause Gallery,We-Su 12:00-18:00,gallery,https://krausegallery.com,POINT (-73.9892808 40.720719),148,Lower East Side
23,54,New York,94,10002.0,Allen Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9904291 40.7185164),40.7185164,-73.9904291,Magenta Plains,We-Su 11:00-18:00,gallery,http://www.magentaplains.com,POINT (-73.9904291 40.7185164),148,Lower East Side
24,55,New York,155,10002.0,Suffolk Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9852723 40.7208065),40.7208065,-73.9852723,Morgan Presents,Tu-Sa 10:00-18:00,gallery,https://www.morgan-presents.com/,POINT (-73.9852723 40.7208065),148,Lower East Side
25,56,New York,119,10002.0,Ludlow Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9887194 40.7196295),40.7196295,-73.9887194,Con Artist Collective,Mo-Sa 11:00-19:00,gallery,https://conartistnyc.com,POINT (-73.9887194 40.7196295),148,Lower East Side
26,57,New York,130,10002.0,Orchard Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9892959 40.7196517),40.7196517,-73.9892959,Perrotin New York,Tu-Sa 10:00-18:00,gallery,https://perrotin.com,POINT (-73.9892959 40.7196517),148,Lower East Side
27,58,New York,131,10002.0,Allen Street,"Contemporary art gallery with a new media focus, showcasing both established and emerging artists.",POINT (-73.990232 40.7200826),40.7200826,-73.990232,Bitforms Gallery,We-Sa 11:00-18:00; Su 12:00-18:00,gallery,https://bitforms.art,POINT (-73.990232 40.7200826),148,Lower East Side
28,59,New York,55,10002.0,Delancey Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9911739 40.7191881),40.7191881,-73.9911739,James Fuentes LLC,We-Su 10:00-18:00,gallery,https://jamesfuentes.com/,POINT (-73.9911739 40.7191881),148,Lower East Side
29,60,New York,16B,10002.0,Orchard Street,Chinatown Soup is a creative community in downtown New York.,POINT (-73.9916176 40.7151986),40.7151986,-73.9916176,Chinatown Soup,Mo-Sa 12:00-19:00,gallery,https://chinatownsoup.nyc,POINT (-73.9916176 40.7151986),148,Lower East Side
30,62,New York,36,10002.0,Orchard Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9912916 40.7158321),40.7158321,-73.9912916,Miguel Abreu Gallery,We-Su 10:00-18:00,gallery,https://miguelabreugallery.com/,POINT (-73.9912916 40.7158321),148,Lower East Side
163,51,New York,235,10002.0,Bowery,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9928349 40.722347),40.722347,-73.9928349,New Museum,Tu-Su 11:00-18:00,museum,https://www.newmuseum.org/,POINT (-73.9928349 40.722347),148,Lower East Side
164,52,New York,103,10002.0,Orchard Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9900266 40.7187837),40.7187837,-73.9900266,Lower East Side Tenement Museum,Mo-Su 10:00-18:00,museum,https://www.tenement.org/,POINT (-73.9900266 40.7187837),148,Lower East Side
165,63,New York,79,10002.0,Essex Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9886491 40.718097),40.718097,-73.9886491,International Center of Photography,11:00-19:00; Tu off; Th 11:00-21:00,museum,https://www.icp.org/,POINT (-73.9886491 40.718097),148,Lower East Side
32,79,New York,204,10038.0,Front Street,,POINT ( -74.00326409942522 40.70708707897607),40.70708708,-74.0032641,Bright Moments New York Art Gallery,Tu-Fr 12:00-17:00,gallery,http://www.brightmoments.io/,POINT (-74.00326409942522 40.70708707897607),209,Seaport
33,80,New York,141,10012.0,Prince Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0005096 40.7256775),40.7256775,-74.0005096,Louis K.Meisel Gallery,Mo-Su 10:00-17:00,gallery,https://www.meiselgallery.com/,POINT (-74.0005096 40.7256775),211,SoHo
34,87,New York,57,10013.0,Walker Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0032329 40.7188402),40.7188402,-74.0032329,David Lewis Gallery,Tu-Sa 10:00-18:00,gallery,https://www.davidlewisgallery.com/,POINT (-74.0032329 40.7188402),231,TriBeCa/Civic Center
171,85,New York,49,10007.0,Chambers Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.005072 40.7137437),40.7137437,-74.005072,Hall des Lumi??res,10:00-18:00; Tu off; Th-Sa 10:00-22:00,museum,https://www.halldeslumieres.com/,POINT (-74.005072 40.7137437),231,TriBeCa/Civic Center
172,86,New York,4,10013.0,Cortlandt Alley,tiny exhibit space in a disused elevator,POINT (-74.0028203 40.7173656),40.7173656,-74.0028203,Mmuseumm,"Sa-Su 12:00-18:00 open ""Museum"" || 00:00-24:00 open ""Viewing windows""",museum,http://www.mmuseumm.com/,POINT (-74.0028203 40.7173656),231,TriBeCa/Civic Center
35,88,New York,127,10002.0,Henry Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9912954 40.713402),40.713402,-73.9912954,FIERMAN,We-Su 12:00-18:00,gallery,https://fierman.nyc,POINT (-73.9912954 40.713402),232,Two Bridges/Seward Park
