,LocationID,25th_percentile,50th_percentile,75th_percentile
0,4,9.0,21.0,37.0
1,12,2.0,5.0,11.0
2,13,25.0,55.0,75.0
3,50,35.0,75.0,102.0
4,68,75.0,174.0,223.0
5,103,2.0,5.0,11.0
6,120,1.0,1.0,2.0
7,128,1.0,1.0,2.0
8,137,47.0,85.0,109.0
9,140,57.0,131.0,182.0
10,158,21.0,65.0,97.0
11,170,78.0,212.0,273.0
12,194,1.0,2.0,3.0
13,211,18.0,59.0,86.0
14,224,8.0,23.0,39.0
15,233,42.0,109.0,140.0
16,262,33.0,91.0,147.0
