addr:housenumber,addr:street,addr:city,addr:postcode,description,name,opening_hours,tourism,website,geometry,location_id,zone
33,Bleecker Street,New York,10012,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Zürcher Studio,Tu-Sa 12:00-18:00; Su 14:00-18:00,gallery,https://galeriezurcher.com,POINT (-73.9937321 40.7257629),114,Greenwich Village South
47,Great Jones Street,New York,10012,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,La MaMa Galleria,Th-Su 13:00-19:00,gallery,https://lamama.org,POINT (-73.992545 40.7265986),114,Greenwich Village South
414,W 141st Street,New York,10031,,Hamilton Grange National Memorial,We-Su 10:00-17:00,Attraction,http://www.nps.gov/hagr/index.htm,POINT (-73.947310 40.821354),116,Hamilton Heights
898,St Nicholas Avenue,New York,10032,,Sugar Hill Children's Museum of Art & Storytelling,"Th 17:30-20:00, Sa-Sun 10:00-15:00",museum,http://www.sugarhillmuseum.org/,,116,Hamilton Heights
,"W 190th St &, Amsterdam Ave",New York,10040,,Highbridge Park,Mo-Su 6:00-23:00,Park,https://www.nycgovparks.org/parks/highbridge-park,POINT (-73.932964 40.844630),120,Highbridge Park
278,Spring Street,New York,10013,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,New York City Fire Museum,10:00-17:00,museum,http://www.nycfiremuseum.org/,POINT (-74.0069355 40.7255756),125,Hudson Sq
251,Spring Street,New York,10013,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",Color Factory,"Mo, Th, Su 09:30-18:00; Tu 09:30-17:00; We off; Fr, Sa 09:30-20:00",attraction,http://colorfactory.co,POINT (-74.0054663 40.7257695),125,Hudson Sq
75,Varick Street,New York,10013,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Jackie Robinson Museum,Th-Su 11:00-18:00; Dec 25 off,museum,https://www.jackierobinsonmuseum.org,POINT (-74.0068809 40.7231769),125,Hudson Sq
4881,Broadway,New York,10034,Museum in the city's only remaining Dutch colonial farmhouse (built circa 1764) and its garden.,Dyckman Farmhouse Museum,Th-Sa 11:00-16:00; Su 11:00-15:00,museum,https://dyckmanfarmhouse.org/,POINT (-73.9228859 40.8673822),127,Inwood
,"Payson Avenue. &, Seaman Avenue",New York,10034,,Inwood Hill Park,Mo-Su 06:00- 01:00,park,https://www.nycgovparks.org/parks/inwood-hill-park,POINT (-73.924384 40.872345),128,Inwood Hill Park
240,E 26th Street,New York,10010,,Holographic Studios,Mo-Fr 14:00-18:00,attraction,http://www.holographer.com/,POINT (-73.980114 40.739942),137,Kips Bay
,"E. 60th Street &, FDR Drive",New York,10022,,Andrew Haswell Green Park,Mo 06:00-01:00; Tu-Sa 06:00-23:00; Su 06:00-00:00,park,https://www.nycgovparks.org/parks/andrew-haswell-green-park,POINT (-73.956870 40.760222),140,Lenox Hill East
725,Park Avenue,New York,10021,,Asia Society and Museum,Tu-Su 11:00-17:00,museum,http://asiasociety.org/new-york,POINT (-73.964305 40.769840),141,Lenox Hill West
290,Columbus Avenue,New York,10023,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,NYC Barber Shop Museum,Tu-Fr 10:00-19:00; Sa 10:00-18:00; Su 11:00-17:00,museum,https://www.nycbarbershopmuseum.com/,POINT (-73.9781357 40.7786086),142,Lincoln Square East
860,11th Avenue,New York,10019,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Anya & Andrew Shiva Gallery,Mo-Fr 10:00-18:00,gallery,http://shivagallery.org,POINT (-73.9902725 40.771366),143,Lincoln Square West
215,Centre Street,New York,10013,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of Chinese in America,"Tu, We, Fr-Su 11:00-18:00; Th 11:00-21:00",museum,https://www.mocanyc.org,POINT (-73.9990481 40.7194172),144,Little Italy/NoLiTa
558,Broadway,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of Ice Cream,"Mo, We, Th, Su 10:00-19:00; Fr, Sa 10:00-20:30",museum,https://www.museumoficecream.com/new-york-city,POINT (-73.9979055 40.7238654),144,Little Italy/NoLiTa
235,Bowery,New York,10002,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,New Museum,Tu-Su 11:00-18:00,museum,https://www.newmuseum.org/,POINT (-73.9928349 40.722347),148,Lower East Side
103,Orchard Street,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Lower East Side Tenement Museum,Mo-Su 10:00-18:00,museum,https://www.tenement.org/,POINT (-73.9900266 40.7187837),148,Lower East Side
149,Allen Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Krause Gallery,We-Su 12:00-18:00,gallery,https://krausegallery.com,POINT (-73.9892808 40.720719),148,Lower East Side
94,Allen Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Magenta Plains,We-Su 11:00-18:00,gallery,http://www.magentaplains.com,POINT (-73.9904291 40.7185164),148,Lower East Side
155,Suffolk Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Morgan Presents,Tu-Sa 10:00-18:00,gallery,https://www.morgan-presents.com/,POINT (-73.9852723 40.7208065),148,Lower East Side
119,Ludlow Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Con Artist Collective,Mo-Sa 11:00-19:00,gallery,https://conartistnyc.com,POINT (-73.9887194 40.7196295),148,Lower East Side
130,Orchard Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Perrotin New York,Tu-Sa 10:00-18:00,gallery,https://perrotin.com,POINT (-73.9892959 40.7196517),148,Lower East Side
131,Allen Street,New York,10002,"Contemporary art gallery with a new media focus, showcasing both established and emerging artists.",bitforms gallery,We-Sa 11:00-18:00; Su 12:00-18:00,gallery,https://bitforms.art,POINT (-73.990232 40.7200826),148,Lower East Side
55,Delancey Street,New York,,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,James Fuentes LLC,We-Su 10:00-18:00,gallery,https://jamesfuentes.com/,POINT (-73.9911739 40.7191881),148,Lower East Side
16B,Orchard Street,New York,,Chinatown Soup is a creative community in downtown New York.,Chinatown Soup,Mo-Sa 12:00-19:00,gallery,https://chinatownsoup.nyc,POINT (-73.9916176 40.7151986),148,Lower East Side
87,Rivington Street,New York,,"EN is an intimate place where artists, musicians, writers, actors, filmmakers, performers and dancers congregate.",Empirical Nonsense,We-Sa 12:00-18:00,gallery,https://empiricalnonsense.today,POINT (-73.9889614 40.7201441),148,Lower East Side
36,Orchard Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Miguel Abreu Gallery,We-Su 10:00-18:00,gallery,https://miguelabreugallery.com/,POINT (-73.9912916 40.7158321),148,Lower East Side
79,Essex Street,New York,10002,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,International Center of Photography,11:00-19:00; Tu off; Th 11:00-21:00,museum,https://www.icp.org/,POINT (-73.9886491 40.718097),148,Lower East Side
615,West 129th Street,New York,10027,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Miriam and Ira D. Wallach Art Gallery,We-Fr 12:00-20:00; Sa-Su 12:00-18:00,gallery,https://wallach.columbia.edu/,POINT (-73.9586445 40.8172422),152,Manhattanville
99,Gansevoort Street,New York,10014,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Whitney Museum of American Art,"We-Th, Sa-Mo 10:30-18:00; Fr 10:30-22:00",museum,https://www.whitney.org/,POINT (-74.0089385 40.739633),158,Meatpacking/West Village West
11,West 53rd Street,New York,10019,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,MoMA,"Mo-Sa,Su 10:30-17:30; Fr 10:30-20:00",museum,https://www.moma.org/,POINT (-73.9775451 40.761612),161,Midtown Center
89,East 42nd Street,New York,,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",Grand Central Terminal,Mo-Su 05:30-02:00,attraction,https://www.grandcentralterminal.com/,POINT (-73.9772748 40.7526474),162,Midtown East
2,Columbus Circle,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of Arts and Design,"Tu, We, Fr-Su 10:00-18:00; Th 10:00-21:00",museum,https://www.madmuseum.org/,POINT (-73.9820053 40.7673824),163,Midtown North
