VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-02-01 00:41:09,2022-02-01 00:58:26,1.0,7.5,1.0,N,132,76,3,22.5,1.75,0.5,0.0,0.0,0.3,25.05,0.0,1.25
2,2022-02-01 00:35:59,2022-02-01 01:03:36,1.0,17.43,2.0,N,132,141,1,52.0,0.0,0.5,11.31,0.0,0.3,67.86,2.5,1.25
2,2022-02-01 00:28:03,2022-02-01 00:34:29,1.0,1.13,1.0,N,230,68,1,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5,0.0
1,2022-02-01 00:59:18,2022-02-01 01:37:05,1.0,19.5,2.0,N,132,107,2,52.0,3.75,0.5,0.0,0.0,0.3,56.55,2.5,1.25
2,2022-02-01 00:57:21,2022-02-01 01:03:34,1.0,2.18,1.0,N,137,141,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5,0.0
1,2022-02-01 00:36:54,2022-02-01 00:40:50,1.0,0.6,1.0,Y,170,162,1,4.5,3.0,0.5,1.65,0.0,0.3,9.95,2.5,0.0
1,2022-02-01 00:52:04,2022-02-01 00:56:22,1.0,1.1,1.0,N,48,68,2,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5,0.0
2,2022-02-01 00:12:15,2022-02-01 00:12:30,2.0,0.0,1.0,N,132,132,4,-2.5,-0.5,-0.5,0.0,0.0,-0.3,-5.05,0.0,-1.25
2,2022-02-01 00:12:15,2022-02-01 00:12:30,2.0,0.0,1.0,N,132,132,2,2.5,0.5,0.5,0.0,0.0,0.3,5.05,0.0,1.25
2,2022-02-01 00:13:48,2022-02-01 00:46:31,2.0,19.43,2.0,N,132,43,1,52.0,0.0,0.5,10.0,6.55,0.3,70.6,0.0,1.25
2,2022-02-01 00:13:05,2022-02-01 00:27:29,1.0,5.87,1.0,N,132,130,1,19.0,0.5,0.5,4.0,0.0,0.3,25.55,0.0,1.25
2,2022-02-01 00:41:59,2022-02-01 01:09:59,3.0,6.8,1.0,N,264,264,2,24.0,0.5,0.5,0.0,0.0,0.3,27.8,2.5,0.0
1,2022-02-01 00:07:51,2022-02-01 00:26:26,1.0,4.3,1.0,N,186,261,2,16.5,3.0,0.5,0.0,0.0,0.3,20.3,2.5,0.0
1,2022-02-01 00:06:48,2022-02-01 00:20:00,1.0,3.1,1.0,N,234,239,1,12.5,3.0,0.5,2.0,0.0,0.3,18.3,2.5,0.0
2,2022-02-01 00:03:12,2022-02-01 00:13:09,1.0,2.37,1.0,N,148,137,1,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5,0.0
2,2022-02-01 00:18:39,2022-02-01 00:24:24,1.0,1.1,1.0,N,164,68,1,6.0,0.5,0.5,1.0,0.0,0.3,10.8,2.5,0.0
2,2022-02-01 00:19:43,2022-02-01 00:27:06,3.0,2.3,1.0,N,233,141,1,8.5,0.5,0.5,0.5,0.0,0.3,12.8,2.5,0.0
2,2022-02-01 00:07:27,2022-02-01 00:26:13,1.0,3.77,1.0,N,88,49,1,15.0,0.5,0.5,3.76,0.0,0.3,22.56,2.5,0.0
2,2022-02-01 00:03:21,2022-02-01 00:07:17,1.0,0.89,1.0,N,237,141,1,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5,0.0
2,2022-02-01 00:09:46,2022-02-01 00:12:53,1.0,1.03,1.0,N,141,162,1,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5,0.0
1,2022-02-01 00:12:49,2022-02-01 00:18:53,1.0,1.0,1.0,N,249,90,2,6.0,3.0,0.5,0.0,0.0,0.3,9.8,2.5,0.0
