addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,location_id,longitude,name,opening_hours,tags,website,zone,rating
New York,75,10011,9th Avenue,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",POINT (-74.0069958 40.7429236),40.7429236,68,-74.0069958,Chelsea Market,Mo-Sa 07:00-21:00; Su 08:00-20:00,shopping,http://chelseamarket.com/,East Chelsea,4.5
New York,453,10011,West 17th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0061805 40.7439372),40.7439372,68,-74.0061805,Ulrik Gallery,We-Sa 12:00-18:00,gallery,https://ulrik.nyc,East Chelsea,4.5
New York,1230,10029,5th Ave,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.95136338790059 40.793305089024614),40.79330509,75,-73.95136339,El Museo del Barrio,Th-Su 11:00-17:00,museum,https://www.elmuseo.org/,East Harlem South,4.5
New York,1220,10029,5th Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9519079 40.792506),40.792506,75,-73.9519079,Museum of the City of New York,Fr-Mo 10:00-17:00; Th 10:00-21:00,museum,https://www.mcny.org/,East Harlem South,4.5
New York,1280,10029,5th Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9493338 40.7963422),40.7963422,75,-73.9493338,The Africa Center,Su-Th 12:00-20:00,museum,https://www.theafricacenter.org/,East Harlem South,4.5
New York,188,10009,East 2nd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9841125 40.7224564),40.7224564,79,-73.9841125,Karma Gallery,Tu-Sa 10:00-18:00,gallery,https://karmakarma.org,East Village,4.5
New York,64,10009,Avenue A,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-73.9845324 40.7244007),40.7244007,79,-73.9845324,MARCH,Tu-Sa 11:00-18:00,gallery,https://www.marchgallery.org,East Village,4.5
New York,12,10038,Fulton Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0036758 40.706628),40.706628,87,-74.0036758,South Street Seaport Museum,We-Su 11:00-17:00,museum,https://southstreetseaportmuseum.org/,Financial District North,4.5
New York,185,10007,Greenwich Street,"From the culinary delight that is the Chelsea Market, to the iconic Westfields Mall, Manhattan is a Shopaholic's Paradise!",POINT(-74.01120542039087 40.71220927158285),40.71220927,261,-74.01120542,Westfield World Trade Center,Mo-Sa 10:00-20:00; Su 10:00-19:00,shopping,https://www.westfield.com/westfieldworldtradecenter,World Trade Center,4.5
New York,180,10007,Greenwich Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0127418 40.711456),40.711456,261,-74.0127418,9/11 Memorial & Museum,Mo-Th 09:00-20:00; Fr-Sa 09:00-21:00; Su 09:00-20:00,museum,https://www.911memorial.org/,World Trade Center,4.5
