,time,temperature_2m (°C),rain (mm),snowfall (cm),windspeed_10m (km/h),Unnamed: 5,month,dayofweek,hour,LocationID,passenger_count
92175,2022-04-04 13:00:00,5.2,0.0,0.0,13.9,,4,0,13,103,8.0
92239,2022-04-04 14:00:00,6.8,0.0,0.0,16.1,,4,0,14,103,2.0
92302,2022-04-04 15:00:00,8.2,0.0,0.0,15.8,,4,0,15,103,1.0
92365,2022-04-04 16:00:00,9.7,0.0,0.0,15.3,,4,0,16,103,1.0
92429,2022-04-04 17:00:00,11.2,0.0,0.0,13.2,,4,0,17,103,2.0
92492,2022-04-04 18:00:00,11.9,0.0,0.0,13.6,,4,0,18,103,1.0
92557,2022-04-04 19:00:00,11.8,0.0,0.0,13.8,,4,0,19,103,3.0
92623,2022-04-04 20:00:00,11.8,0.0,0.0,13.0,,4,0,20,103,1.0
92687,2022-04-04 21:00:00,11.7,0.0,0.0,13.8,,4,0,21,103,3.0
92750,2022-04-04 22:00:00,10.8,0.0,0.0,9.8,,4,0,22,103,2.0
93213,2022-04-05 06:00:00,4.7,0.0,0.0,6.7,,4,1,6,103,4.0
93276,2022-04-05 07:00:00,3.9,0.0,0.0,5.6,,4,1,7,103,11.0
93338,2022-04-05 08:00:00,3.9,0.0,0.0,3.4,,4,1,8,103,32.0
93400,2022-04-05 09:00:00,3.8,0.0,0.0,2.6,,4,1,9,103,28.0
93463,2022-04-05 10:00:00,3.9,0.0,0.0,2.4,,4,1,10,103,18.0
93526,2022-04-05 11:00:00,4.1,0.0,0.0,4.3,,4,1,11,103,16.0
93591,2022-04-05 12:00:00,4.6,0.0,0.0,3.5,,4,1,12,103,3.0
93653,2022-04-05 13:00:00,6.2,0.0,0.0,3.8,,4,1,13,103,11.0
93717,2022-04-05 14:00:00,7.9,0.0,0.0,6.1,,4,1,14,103,4.0
93780,2022-04-05 15:00:00,9.3,0.0,0.0,8.2,,4,1,15,103,2.0
93907,2022-04-05 17:00:00,11.6,0.0,0.0,10.9,,4,1,17,103,1.0
94156,2022-04-05 21:00:00,10.3,0.0,0.0,13.4,,4,1,21,103,2.0
94680,2022-04-06 06:00:00,6.7,1.2,0.0,15.3,,4,2,6,103,2.0
94743,2022-04-06 07:00:00,6.4,0.9,0.0,17.1,,4,2,7,103,7.0
94807,2022-04-06 08:00:00,6.5,1.3,0.0,19.2,,4,2,8,103,9.0
94869,2022-04-06 09:00:00,6.6,2.1,0.0,20.2,,4,2,9,103,10.0
94931,2022-04-06 10:00:00,6.9,2.4,0.0,19.0,,4,2,10,103,6.0
94994,2022-04-06 11:00:00,7.2,2.1,0.0,19.6,,4,2,11,103,12.0
95055,2022-04-06 12:00:00,7.5,2.3,0.0,21.4,,4,2,12,103,9.0
95117,2022-04-06 13:00:00,7.8,1.8,0.0,22.5,,4,2,13,103,4.0
95180,2022-04-06 14:00:00,8.1,0.5,0.0,21.9,,4,2,14,103,3.0
95242,2022-04-06 15:00:00,8.2,0.4,0.0,21.4,,4,2,15,103,2.0
95306,2022-04-06 16:00:00,8.3,0.4,0.0,21.6,,4,2,16,103,1.0
95369,2022-04-06 17:00:00,8.6,0.1,0.0,19.6,,4,2,17,103,1.0
95433,2022-04-06 18:00:00,9.4,0.0,0.0,16.9,,4,2,18,103,3.0
95496,2022-04-06 19:00:00,9.5,0.0,0.0,17.7,,4,2,19,103,1.0
95812,2022-04-07 00:00:00,8.6,0.0,0.0,5.7,,4,3,0,103,1.0
95874,2022-04-07 01:00:00,8.3,0.0,0.0,8.9,,4,3,1,103,1.0
96159,2022-04-07 06:00:00,6.2,0.0,0.0,7.9,,4,3,6,103,1.0
96222,2022-04-07 07:00:00,7.1,0.0,0.0,9.8,,4,3,7,103,14.0
96284,2022-04-07 08:00:00,6.6,0.0,0.0,10.9,,4,3,8,103,17.0
96348,2022-04-07 09:00:00,6.2,0.0,0.0,13.4,,4,3,9,103,7.0
96411,2022-04-07 10:00:00,5.8,0.0,0.0,13.9,,4,3,10,103,11.0
96473,2022-04-07 11:00:00,5.9,0.0,0.0,14.2,,4,3,11,103,11.0
96536,2022-04-07 12:00:00,6.8,0.0,0.0,14.5,,4,3,12,103,3.0
96599,2022-04-07 13:00:00,8.4,0.0,0.0,17.3,,4,3,13,103,5.0
96661,2022-04-07 14:00:00,9.5,0.0,0.0,18.3,,4,3,14,103,2.0
96848,2022-04-07 17:00:00,10.2,0.2,0.0,20.9,,4,3,17,103,1.0
96973,2022-04-07 19:00:00,9.4,1.7,0.0,20.1,,4,3,19,103,1.0
97036,2022-04-07 20:00:00,9.6,3.6,0.0,22.4,,4,3,20,103,11.0
97283,2022-04-08 00:00:00,10.2,1.8,0.0,27.3,,4,4,0,103,1.0
97586,2022-04-08 05:00:00,11.0,5.3,0.0,2.3,,4,4,5,103,1.0
97647,2022-04-08 06:00:00,10.8,1.9,0.0,2.6,,4,4,6,103,3.0
97709,2022-04-08 07:00:00,10.2,0.5,0.0,6.8,,4,4,7,103,17.0
97771,2022-04-08 08:00:00,9.5,0.0,0.0,11.3,,4,4,8,103,19.0
97835,2022-04-08 09:00:00,8.9,0.0,0.0,17.7,,4,4,9,103,27.0
97898,2022-04-08 10:00:00,8.4,0.0,0.0,15.2,,4,4,10,103,13.0
97961,2022-04-08 11:00:00,7.9,0.0,0.0,14.8,,4,4,11,103,15.0
98024,2022-04-08 12:00:00,8.2,0.0,0.0,13.0,,4,4,12,103,20.0
98087,2022-04-08 13:00:00,9.3,0.0,0.0,16.1,,4,4,13,103,7.0
98150,2022-04-08 14:00:00,10.8,0.0,0.0,15.6,,4,4,14,103,8.0
98214,2022-04-08 15:00:00,12.9,0.0,0.0,13.7,,4,4,15,103,2.0
98278,2022-04-08 16:00:00,14.4,0.0,0.0,15.8,,4,4,16,103,2.0
98341,2022-04-08 17:00:00,15.4,0.0,0.0,17.1,,4,4,17,103,22.0
98405,2022-04-08 18:00:00,15.9,0.0,0.0,17.7,,4,4,18,103,6.0
98469,2022-04-08 19:00:00,16.2,0.0,0.0,17.4,,4,4,19,103,4.0
98593,2022-04-08 21:00:00,15.7,0.0,0.0,15.5,,4,4,21,103,1.0
98656,2022-04-08 22:00:00,14.9,0.0,0.0,10.1,,4,4,22,103,1.0
98781,2022-04-09 00:00:00,11.5,0.0,0.0,7.6,,4,5,0,103,1.0
99140,2022-04-09 06:00:00,6.8,0.0,0.0,7.9,,4,5,6,103,10.0
99203,2022-04-09 07:00:00,6.6,0.1,0.0,5.4,,4,5,7,103,22.0
99267,2022-04-09 08:00:00,6.3,0.1,0.0,5.1,,4,5,8,103,24.0
99330,2022-04-09 09:00:00,5.2,0.1,0.0,5.8,,4,5,9,103,21.0
99392,2022-04-09 10:00:00,5.3,0.0,0.0,3.8,,4,5,10,103,5.0
99458,2022-04-09 11:00:00,4.4,0.1,0.0,4.2,,4,5,11,103,10.0
99521,2022-04-09 12:00:00,6.9,0.6,0.0,2.4,,4,5,12,103,13.0
99586,2022-04-09 13:00:00,8.1,0.6,0.0,4.7,,4,5,13,103,10.0
99650,2022-04-09 14:00:00,9.2,0.1,0.0,8.6,,4,5,14,103,5.0
99713,2022-04-09 15:00:00,9.7,0.1,0.0,14.0,,4,5,15,103,5.0
99778,2022-04-09 16:00:00,11.2,0.2,0.0,14.3,,4,5,16,103,8.0
99844,2022-04-09 17:00:00,12.0,0.2,0.0,16.2,,4,5,17,103,3.0
99906,2022-04-09 18:00:00,12.5,0.2,0.0,14.1,,4,5,18,103,1.0
100155,2022-04-09 22:00:00,12.0,0.0,0.0,10.0,,4,5,22,103,4.0
100403,2022-04-10 02:00:00,7.5,0.0,0.0,10.1,,4,6,2,103,4.0
100641,2022-04-10 06:00:00,4.7,0.0,0.0,9.9,,4,6,6,103,3.0
100704,2022-04-10 07:00:00,5.5,0.0,0.0,12.9,,4,6,7,103,20.0
100766,2022-04-10 08:00:00,5.1,0.0,0.0,15.8,,4,6,8,103,24.0
100828,2022-04-10 09:00:00,4.7,0.0,0.0,16.8,,4,6,9,103,14.0
100891,2022-04-10 10:00:00,4.2,0.0,0.0,11.7,,4,6,10,103,13.0
100953,2022-04-10 11:00:00,3.7,0.0,0.0,13.3,,4,6,11,103,13.0
101017,2022-04-10 12:00:00,4.2,0.0,0.0,15.5,,4,6,12,103,21.0
101082,2022-04-10 13:00:00,5.3,0.0,0.0,19.9,,4,6,13,103,7.0
101146,2022-04-10 14:00:00,6.7,0.0,0.0,21.1,,4,6,14,103,13.0
101210,2022-04-10 15:00:00,8.0,0.0,0.0,21.8,,4,6,15,103,3.0
101273,2022-04-10 16:00:00,8.7,0.0,0.0,23.1,,4,6,16,103,3.0
101337,2022-04-10 17:00:00,9.0,0.0,0.0,24.5,,4,6,17,103,1.0
101400,2022-04-10 18:00:00,9.2,0.0,0.0,25.4,,4,6,18,103,6.0
101833,2022-04-11 01:00:00,6.6,0.0,0.0,17.8,,4,0,1,103,1.0
102115,2022-04-11 06:00:00,3.5,0.0,0.0,15.5,,4,0,6,103,7.0
102177,2022-04-11 07:00:00,3.2,0.0,0.0,14.4,,4,0,7,103,11.0
102238,2022-04-11 08:00:00,2.8,0.0,0.0,14.1,,4,0,8,103,52.0
102303,2022-04-11 09:00:00,2.4,0.0,0.0,14.3,,4,0,9,103,30.0
102367,2022-04-11 10:00:00,2.0,0.0,0.0,10.0,,4,0,10,103,24.0
102430,2022-04-11 11:00:00,1.8,0.0,0.0,11.2,,4,0,11,103,18.0
102493,2022-04-11 12:00:00,3.8,0.0,0.0,10.0,,4,0,12,103,19.0
102557,2022-04-11 13:00:00,5.8,0.0,0.0,9.4,,4,0,13,103,11.0
102620,2022-04-11 14:00:00,7.6,0.0,0.0,6.8,,4,0,14,103,1.0
102682,2022-04-11 15:00:00,9.3,0.0,0.0,5.6,,4,0,15,103,2.0
102746,2022-04-11 16:00:00,11.0,0.0,0.0,5.7,,4,0,16,103,4.0
102872,2022-04-11 18:00:00,13.5,0.0,0.0,9.7,,4,0,18,103,2.0
103181,2022-04-11 23:00:00,11.7,0.0,0.0,9.3,,4,0,23,103,4.0
103583,2022-04-12 06:00:00,7.2,0.0,0.0,11.8,,4,1,6,103,3.0
103646,2022-04-12 07:00:00,7.8,0.0,0.0,10.3,,4,1,7,103,18.0
103709,2022-04-12 08:00:00,7.8,0.0,0.0,9.3,,4,1,8,103,17.0
103773,2022-04-12 09:00:00,7.9,0.0,0.0,7.6,,4,1,9,103,27.0
103836,2022-04-12 10:00:00,7.7,0.0,0.0,4.7,,4,1,10,103,24.0
103897,2022-04-12 11:00:00,7.8,0.0,0.0,4.8,,4,1,11,103,43.0
103960,2022-04-12 12:00:00,8.5,0.0,0.0,9.3,,4,1,12,103,6.0
104024,2022-04-12 13:00:00,9.4,0.4,0.0,9.4,,4,1,13,103,9.0
104086,2022-04-12 14:00:00,9.5,0.5,0.0,9.3,,4,1,14,103,7.0
104149,2022-04-12 15:00:00,11.0,0.3,0.0,9.2,,4,1,15,103,8.0
104213,2022-04-12 16:00:00,14.0,0.0,0.0,11.7,,4,1,16,103,1.0
104277,2022-04-12 17:00:00,17.4,0.0,0.0,14.5,,4,1,17,103,1.0
104342,2022-04-12 18:00:00,19.1,0.0,0.0,15.3,,4,1,18,103,1.0
104656,2022-04-12 23:00:00,18.1,0.0,0.0,8.9,,4,1,23,103,3.0
105063,2022-04-13 06:00:00,7.2,0.0,0.0,5.8,,4,2,6,103,4.0
105126,2022-04-13 07:00:00,7.3,0.0,0.0,6.8,,4,2,7,103,14.0
105188,2022-04-13 08:00:00,7.5,0.0,0.0,6.1,,4,2,8,103,21.0
105253,2022-04-13 09:00:00,7.4,0.0,0.0,6.9,,4,2,9,103,41.0
105314,2022-04-13 10:00:00,8.2,0.0,0.0,8.4,,4,2,10,103,25.0
105375,2022-04-13 11:00:00,8.8,0.0,0.0,9.5,,4,2,11,103,15.0
105439,2022-04-13 12:00:00,10.7,0.0,0.0,9.9,,4,2,12,103,14.0
105502,2022-04-13 13:00:00,13.0,0.0,0.0,9.7,,4,2,13,103,16.0
105566,2022-04-13 14:00:00,15.2,0.0,0.0,10.9,,4,2,14,103,3.0
105629,2022-04-13 15:00:00,17.0,0.0,0.0,12.0,,4,2,15,103,2.0
105693,2022-04-13 16:00:00,18.6,0.0,0.0,13.3,,4,2,16,103,5.0
105756,2022-04-13 17:00:00,19.6,0.0,0.0,13.7,,4,2,17,103,1.0
105819,2022-04-13 18:00:00,20.6,0.0,0.0,13.2,,4,2,18,103,1.0
105883,2022-04-13 19:00:00,21.2,0.0,0.0,11.3,,4,2,19,103,3.0
105945,2022-04-13 20:00:00,21.5,0.0,0.0,10.2,,4,2,20,103,3.0
106138,2022-04-13 23:00:00,18.5,0.0,0.0,6.3,,4,2,23,103,1.0
106204,2022-04-14 00:00:00,17.2,0.0,0.0,7.4,,4,3,0,103,2.0
106555,2022-04-14 06:00:00,16.1,0.0,0.0,10.7,,4,3,6,103,1.0
106616,2022-04-14 07:00:00,15.2,0.0,0.0,12.4,,4,3,7,103,21.0
106680,2022-04-14 08:00:00,15.2,0.0,0.0,13.1,,4,3,8,103,27.0
106742,2022-04-14 09:00:00,15.3,0.0,0.0,12.5,,4,3,9,103,19.0
106805,2022-04-14 10:00:00,15.5,0.0,0.0,8.9,,4,3,10,103,23.0
106868,2022-04-14 11:00:00,15.6,0.0,0.0,9.6,,4,3,11,103,15.0
106932,2022-04-14 12:00:00,17.3,0.0,0.0,9.8,,4,3,12,103,15.0
106995,2022-04-14 13:00:00,19.9,0.0,0.0,6.6,,4,3,13,103,16.0
107060,2022-04-14 14:00:00,21.7,0.0,0.0,9.3,,4,3,14,103,2.0
107186,2022-04-14 16:00:00,24.8,0.0,0.0,10.3,,4,3,16,103,2.0
107312,2022-04-14 18:00:00,26.7,0.0,0.0,10.1,,4,3,18,103,2.0
107687,2022-04-15 00:00:00,18.0,0.0,0.0,12.5,,4,4,0,103,2.0
107749,2022-04-15 01:00:00,15.7,0.0,0.0,15.5,,4,4,1,103,4.0
107994,2022-04-15 05:00:00,12.6,0.0,0.0,12.2,,4,4,5,103,2.0
108054,2022-04-15 06:00:00,11.8,0.0,0.0,11.6,,4,4,6,103,10.0
108115,2022-04-15 07:00:00,10.9,0.0,0.0,7.1,,4,4,7,103,18.0
108178,2022-04-15 08:00:00,9.5,0.0,0.0,6.9,,4,4,8,103,28.0
108242,2022-04-15 09:00:00,8.0,0.0,0.0,7.4,,4,4,9,103,36.0
108304,2022-04-15 10:00:00,7.3,0.0,0.0,5.6,,4,4,10,103,28.0
108368,2022-04-15 11:00:00,6.8,0.0,0.0,7.3,,4,4,11,103,42.0
108432,2022-04-15 12:00:00,10.0,0.0,0.0,8.6,,4,4,12,103,11.0
108495,2022-04-15 13:00:00,12.8,0.0,0.0,9.0,,4,4,13,103,5.0
108558,2022-04-15 14:00:00,14.9,0.0,0.0,13.4,,4,4,14,103,11.0
108621,2022-04-15 15:00:00,15.9,0.0,0.0,8.2,,4,4,15,103,6.0
108684,2022-04-15 16:00:00,16.8,0.0,0.0,7.9,,4,4,16,103,2.0
108748,2022-04-15 17:00:00,17.6,0.0,0.0,12.5,,4,4,17,103,1.0
108811,2022-04-15 18:00:00,18.3,0.0,0.0,15.4,,4,4,18,103,5.0
108874,2022-04-15 19:00:00,18.7,0.0,0.0,17.1,,4,4,19,103,1.0
109001,2022-04-15 21:00:00,18.0,0.0,0.0,16.9,,4,4,21,103,4.0
109063,2022-04-15 22:00:00,17.0,0.0,0.0,16.6,,4,4,22,103,1.0
109127,2022-04-15 23:00:00,15.4,0.0,0.0,18.4,,4,4,23,103,1.0
109550,2022-04-16 06:00:00,11.9,0.0,0.0,21.7,,4,5,6,103,3.0
109610,2022-04-16 07:00:00,12.1,0.0,0.0,21.1,,4,5,7,103,22.0
109674,2022-04-16 08:00:00,12.2,0.0,0.0,21.4,,4,5,8,103,28.0
109735,2022-04-16 09:00:00,12.3,0.0,0.0,20.6,,4,5,9,103,42.0
109798,2022-04-16 10:00:00,12.5,0.0,0.0,14.9,,4,5,10,103,12.0
109863,2022-04-16 11:00:00,12.7,0.0,0.0,14.7,,4,5,11,103,14.0
109927,2022-04-16 12:00:00,12.9,0.0,0.0,14.7,,4,5,12,103,16.0
109991,2022-04-16 13:00:00,13.6,0.0,0.0,13.2,,4,5,13,103,17.0
110054,2022-04-16 14:00:00,14.7,0.0,0.0,15.3,,4,5,14,103,14.0
110117,2022-04-16 15:00:00,15.8,0.1,0.0,17.2,,4,5,15,103,2.0
110182,2022-04-16 16:00:00,17.0,0.0,0.0,16.3,,4,5,16,103,12.0
110245,2022-04-16 17:00:00,18.1,0.0,0.0,15.0,,4,5,17,103,5.0
110370,2022-04-16 19:00:00,19.8,0.0,0.0,15.7,,4,5,19,103,1.0
110432,2022-04-16 20:00:00,18.1,0.1,0.0,14.6,,4,5,20,103,3.0
110807,2022-04-17 02:00:00,9.4,1.2,0.0,15.0,,4,6,2,103,1.0
110930,2022-04-17 04:00:00,8.0,1.0,0.0,10.0,,4,6,4,103,1.0
111045,2022-04-17 06:00:00,7.1,0.0,0.0,7.7,,4,6,6,103,4.0
111105,2022-04-17 07:00:00,6.3,0.0,0.0,9.3,,4,6,7,103,20.0
111166,2022-04-17 08:00:00,5.6,0.0,0.0,10.3,,4,6,8,103,38.0
111228,2022-04-17 09:00:00,4.8,0.0,0.0,12.8,,4,6,9,103,9.0
111290,2022-04-17 10:00:00,4.1,0.0,0.0,12.1,,4,6,10,103,37.0
111353,2022-04-17 11:00:00,3.8,0.0,0.0,13.0,,4,6,11,103,12.0
111417,2022-04-17 12:00:00,4.2,0.0,0.0,16.6,,4,6,12,103,4.0
111481,2022-04-17 13:00:00,5.1,0.0,0.0,19.1,,4,6,13,103,14.0
111543,2022-04-17 14:00:00,6.4,0.0,0.0,20.4,,4,6,14,103,22.0
111606,2022-04-17 15:00:00,7.8,0.0,0.0,23.8,,4,6,15,103,7.0
111668,2022-04-17 16:00:00,8.5,0.0,0.0,25.9,,4,6,16,103,10.0
111730,2022-04-17 17:00:00,8.9,0.0,0.0,26.4,,4,6,17,103,2.0
111793,2022-04-17 18:00:00,9.0,0.0,0.0,27.2,,4,6,18,103,2.0
111855,2022-04-17 19:00:00,9.5,0.0,0.0,25.5,,4,6,19,103,2.0
111918,2022-04-17 20:00:00,9.8,0.0,0.0,24.7,,4,6,20,103,3.0
112043,2022-04-17 22:00:00,9.4,0.0,0.0,17.7,,4,6,22,103,2.0
112106,2022-04-17 23:00:00,8.7,0.0,0.0,16.2,,4,6,23,103,1.0
112447,2022-04-18 05:00:00,3.0,0.0,0.0,8.5,,4,0,5,103,4.0
112507,2022-04-18 06:00:00,2.4,0.0,0.0,7.9,,4,0,6,103,1.0
112569,2022-04-18 07:00:00,1.7,0.0,0.0,7.8,,4,0,7,103,17.0
112631,2022-04-18 08:00:00,1.3,0.0,0.0,6.4,,4,0,8,103,40.0
112694,2022-04-18 09:00:00,1.0,0.0,0.0,5.8,,4,0,9,103,32.0
112756,2022-04-18 10:00:00,0.9,0.0,0.0,7.5,,4,0,10,103,19.0
112818,2022-04-18 11:00:00,1.6,0.0,0.0,11.8,,4,0,11,103,20.0
112881,2022-04-18 12:00:00,5.0,0.0,0.0,11.7,,4,0,12,103,9.0
112942,2022-04-18 13:00:00,7.1,0.0,0.0,12.9,,4,0,13,103,16.0
113005,2022-04-18 14:00:00,8.7,0.0,0.0,14.4,,4,0,14,103,5.0
113068,2022-04-18 15:00:00,9.8,0.0,0.0,17.1,,4,0,15,103,1.0
113193,2022-04-18 17:00:00,10.5,0.0,0.0,19.5,,4,0,17,103,7.0
113442,2022-04-18 21:00:00,7.9,0.0,0.0,16.6,,4,0,21,103,2.0
113784,2022-04-19 03:00:00,5.9,3.2,0.0,25.6,,4,1,3,103,1.0
113834,2022-04-19 04:00:00,6.1,3.6,0.0,32.7,,4,1,4,103,1.0
113891,2022-04-19 05:00:00,6.6,5.3,0.0,31.7,,4,1,5,103,2.0
113952,2022-04-19 06:00:00,7.8,4.9,0.0,22.9,,4,1,6,103,1.0
114012,2022-04-19 07:00:00,6.2,7.1,0.0,22.9,,4,1,7,103,14.0
114074,2022-04-19 08:00:00,6.0,5.0,0.0,25.9,,4,1,8,103,26.0
114137,2022-04-19 09:00:00,5.0,1.2,0.0,25.2,,4,1,9,103,25.0
114200,2022-04-19 10:00:00,3.7,0.4,0.0,28.0,,4,1,10,103,22.0
114261,2022-04-19 11:00:00,3.7,0.1,0.0,25.3,,4,1,11,103,5.0
114324,2022-04-19 12:00:00,4.3,0.0,0.0,24.7,,4,1,12,103,17.0
114387,2022-04-19 13:00:00,5.1,0.0,0.0,26.7,,4,1,13,103,6.0
114449,2022-04-19 14:00:00,6.4,0.0,0.0,25.2,,4,1,14,103,1.0
114511,2022-04-19 15:00:00,7.6,0.0,0.0,25.7,,4,1,15,103,3.0
114637,2022-04-19 17:00:00,9.5,0.0,0.0,28.9,,4,1,17,103,1.0
114700,2022-04-19 18:00:00,10.3,0.0,0.0,29.2,,4,1,18,103,1.0
114764,2022-04-19 19:00:00,10.5,0.1,0.0,30.4,,4,1,19,103,1.0
114952,2022-04-19 22:00:00,9.3,0.0,0.0,23.6,,4,1,22,103,1.0
115014,2022-04-19 23:00:00,8.3,0.0,0.0,22.5,,4,1,23,103,1.0
115415,2022-04-20 06:00:00,4.5,0.0,0.0,21.0,,4,2,6,103,1.0
115477,2022-04-20 07:00:00,4.2,0.0,0.0,20.1,,4,2,7,103,10.0
115538,2022-04-20 08:00:00,4.0,0.0,0.0,19.2,,4,2,8,103,26.0
115600,2022-04-20 09:00:00,3.8,0.0,0.0,18.4,,4,2,9,103,19.0
115662,2022-04-20 10:00:00,3.6,0.0,0.0,17.5,,4,2,10,103,12.0
115725,2022-04-20 11:00:00,3.8,0.0,0.0,15.9,,4,2,11,103,26.0
115786,2022-04-20 12:00:00,5.0,0.0,0.0,15.9,,4,2,12,103,8.0
115848,2022-04-20 13:00:00,6.4,0.0,0.0,23.9,,4,2,13,103,16.0
115913,2022-04-20 14:00:00,7.6,0.0,0.0,22.3,,4,2,14,103,1.0
115976,2022-04-20 15:00:00,9.0,0.0,0.0,19.8,,4,2,15,103,13.0
116040,2022-04-20 16:00:00,10.2,0.0,0.0,18.2,,4,2,16,103,7.0
116104,2022-04-20 17:00:00,11.4,0.0,0.0,16.3,,4,2,17,103,2.0
116167,2022-04-20 18:00:00,12.3,0.0,0.0,14.6,,4,2,18,103,2.0
116232,2022-04-20 19:00:00,13.5,0.0,0.0,13.4,,4,2,19,103,2.0
116296,2022-04-20 20:00:00,13.8,0.0,0.0,12.4,,4,2,20,103,2.0
116668,2022-04-21 02:00:00,8.4,0.0,0.0,1.5,,4,3,2,103,2.0
116890,2022-04-21 06:00:00,4.4,0.0,0.0,7.2,,4,3,6,103,1.0
116951,2022-04-21 07:00:00,4.3,0.0,0.0,6.7,,4,3,7,103,38.0
117012,2022-04-21 08:00:00,5.6,0.0,0.0,5.0,,4,3,8,103,29.0
117073,2022-04-21 09:00:00,6.3,0.0,0.0,3.8,,4,3,9,103,27.0
117135,2022-04-21 10:00:00,5.9,0.0,0.0,3.6,,4,3,10,103,12.0
117198,2022-04-21 11:00:00,3.8,0.0,0.0,5.2,,4,3,11,103,12.0
117261,2022-04-21 12:00:00,7.6,0.0,0.0,7.0,,4,3,12,103,14.0
117325,2022-04-21 13:00:00,9.8,0.0,0.0,9.4,,4,3,13,103,15.0
117389,2022-04-21 14:00:00,11.8,0.0,0.0,12.6,,4,3,14,103,9.0
117454,2022-04-21 15:00:00,13.1,0.0,0.0,18.5,,4,3,15,103,1.0
117517,2022-04-21 16:00:00,14.0,0.0,0.0,20.2,,4,3,16,103,4.0
117580,2022-04-21 17:00:00,14.6,0.0,0.0,21.2,,4,3,17,103,9.0
117642,2022-04-21 18:00:00,14.9,0.0,0.0,22.7,,4,3,18,103,2.0
117768,2022-04-21 20:00:00,14.2,0.4,0.0,21.3,,4,3,20,103,2.0
117831,2022-04-21 21:00:00,13.0,0.1,0.0,18.4,,4,3,21,103,1.0
118373,2022-04-22 06:00:00,10.6,0.0,0.0,11.5,,4,4,6,103,1.0
118434,2022-04-22 07:00:00,9.4,0.0,0.0,10.8,,4,4,7,103,16.0
118497,2022-04-22 08:00:00,8.7,0.0,0.0,10.6,,4,4,8,103,28.0
118562,2022-04-22 09:00:00,8.1,0.0,0.0,10.5,,4,4,9,103,28.0
118624,2022-04-22 10:00:00,7.9,0.0,0.0,9.4,,4,4,10,103,24.0
118687,2022-04-22 11:00:00,8.7,0.0,0.0,12.0,,4,4,11,103,37.0
118751,2022-04-22 12:00:00,11.4,0.0,0.0,12.6,,4,4,12,103,13.0
118814,2022-04-22 13:00:00,13.4,0.0,0.0,13.5,,4,4,13,103,5.0
118877,2022-04-22 14:00:00,14.7,0.0,0.0,15.3,,4,4,14,103,6.0
118940,2022-04-22 15:00:00,15.5,0.0,0.0,17.6,,4,4,15,103,2.0
119004,2022-04-22 16:00:00,16.1,0.0,0.0,18.9,,4,4,16,103,5.0
119067,2022-04-22 17:00:00,16.6,0.0,0.0,19.1,,4,4,17,103,6.0
119193,2022-04-22 19:00:00,18.4,0.0,0.0,16.0,,4,4,19,103,1.0
119318,2022-04-22 21:00:00,18.2,0.0,0.0,13.5,,4,4,21,103,1.0
119628,2022-04-23 02:00:00,10.5,0.0,0.0,8.7,,4,5,2,103,2.0
119691,2022-04-23 03:00:00,9.5,0.0,0.0,9.1,,4,5,3,103,2.0
119753,2022-04-23 04:00:00,8.8,0.0,0.0,9.5,,4,5,4,103,7.0
119814,2022-04-23 05:00:00,8.1,0.0,0.0,10.2,,4,5,5,103,2.0
119875,2022-04-23 06:00:00,7.4,0.0,0.0,10.5,,4,5,6,103,4.0
119938,2022-04-23 07:00:00,6.9,0.0,0.0,9.4,,4,5,7,103,13.0
120001,2022-04-23 08:00:00,6.3,0.0,0.0,9.9,,4,5,8,103,13.0
120066,2022-04-23 09:00:00,5.9,0.0,0.0,10.0,,4,5,9,103,25.0
120131,2022-04-23 10:00:00,5.2,0.0,0.0,8.8,,4,5,10,103,11.0
120195,2022-04-23 11:00:00,5.8,0.0,0.0,9.0,,4,5,11,103,9.0
120260,2022-04-23 12:00:00,8.7,0.0,0.0,7.2,,4,5,12,103,19.0
120324,2022-04-23 13:00:00,9.7,0.0,0.0,6.7,,4,5,13,103,7.0
120387,2022-04-23 14:00:00,10.4,0.0,0.0,5.1,,4,5,14,103,3.0
120450,2022-04-23 15:00:00,12.6,0.0,0.0,5.2,,4,5,15,103,10.0
120514,2022-04-23 16:00:00,14.0,0.0,0.0,4.8,,4,5,16,103,1.0
120577,2022-04-23 17:00:00,14.9,0.0,0.0,7.4,,4,5,17,103,3.0
120642,2022-04-23 18:00:00,15.3,0.0,0.0,7.3,,4,5,18,103,1.0
120706,2022-04-23 19:00:00,15.8,0.0,0.0,7.6,,4,5,19,103,2.0
120832,2022-04-23 21:00:00,15.7,0.0,0.0,10.5,,4,5,21,103,1.0
120961,2022-04-23 23:00:00,13.4,0.0,0.0,11.1,,4,5,23,103,2.0
121024,2022-04-24 00:00:00,11.9,0.0,0.0,10.4,,4,6,0,103,1.0
121393,2022-04-24 06:00:00,8.9,0.0,0.0,3.8,,4,6,6,103,1.0
121455,2022-04-24 07:00:00,9.4,0.0,0.0,3.3,,4,6,7,103,10.0
121518,2022-04-24 08:00:00,8.4,0.0,0.0,3.3,,4,6,8,103,5.0
121582,2022-04-24 09:00:00,7.8,0.0,0.0,6.0,,4,6,9,103,11.0
121645,2022-04-24 10:00:00,7.7,0.0,0.0,8.9,,4,6,10,103,8.0
121710,2022-04-24 11:00:00,8.4,0.0,0.0,10.7,,4,6,11,103,7.0
